Estado,15a19anios
Aguascalientes,131967
Baja California,315639
Baja California Sur,65469
Campeche,76140
Coahuila de Zaragoza,269284
Colima,60663
Chiapas,526577
Chihuahua,326333
Ciudad de México,650389
Durango,162990
Guanajuato,552092
Guerrero,326540
Hidalgo,272506
Jalisco,716259
México,1476665
Michoacán de Ocampo,407743
Morelos,166654
Nayarit,104256
Nuevo León,471896
Oaxaca,358708
Puebla,607200
Querétaro,198141
Quintana Roo,147549
San Luis Potosí,253797
Sinaloa,261581
Sonora,255716
Tabasco,208660
Tamaulipas,294950
Tlaxcala,121207
Veracruz de Ignacio de la Llave,681548
Yucatán,196363
Zacatecas,141208
