Estado,TasaDesocupacion
Aguascalientes,3.21486059
Baja California,2.511449614
Baja California Sur,2.260871904
Campeche,1.852174935
Coahuila de Zaragoza,3.88302965
Colima,2.197727115
Chiapas,2.000460992
Chihuahua,2.379727402
Ciudad de México,3.9912074
Durango,3.05378536
Guanajuato,2.926420457
Guerrero,1.205513372
Hidalgo,2.081980166
Jalisco,2.094793703
México,3.456544638
Michoacán de Ocampo,1.781770695
Morelos,1.800155158
Nayarit,2.212747013
Nuevo León,2.92721741
Oaxaca,1.3850511
Puebla,2.221688499
Querétaro,2.464614142
Quintana Roo,2.518731262
San Luis Potosí,2.940191302
Sinaloa,2.284738418
Sonora,3.177814913
Tabasco,4.000958781
Tamaulipas,3.217499109
Tlaxcala,2.943457487
Veracruz de Ignacio de la Llave,2.100944969
Yucatán,1.754805314
Zacatecas,2.708766352
