Estado,EsperanzaEscolaridad
Aguascalientes,13.7
Baja California,14
Baja California Sur,13.7
Campeche,13.9
Coahuila de Zaragoza,14
Colima,14
Chiapas,12.3
Chihuahua,13.8
Ciudad de México,20.4
Durango,13.5
Guanajuato,13.5
Guerrero,12.6
Hidalgo,13.9
Jalisco,13.8
México,13.5
Michoacán de Ocampo,12.7
Morelos,13.9
Nayarit,13.5
Nuevo León,14.5
Oaxaca,12.6
Puebla,14.4
Querétaro,14.2
Quintana Roo,12.7
San Luis Potosí,13.3
Sinaloa,15.1
Sonora,14
Tabasco,14.8
Tamaulipas,14
Tlaxcala,13.5
Veracruz de Ignacio de la Llave,13.1
Yucatán,13.7
Zacatecas,13.3
