Estado,HombresvsMujeres
Aguascalientes,95.6
Baja California,101.7
Baja California Sur,103.4
Campeche,96.9
Coahuila de Zaragoza,98.8
Colima,97.3
Chiapas,95.4
Chihuahua,98.2
Ciudad de México,91.7
Durango,97.5
Guanajuato,94.5
Guerrero,92.4
Hidalgo,92.5
Jalisco,96.4
México,94.4
Michoacán de Ocampo,94.4
Morelos,93.2
Nayarit,98.3
Nuevo León,99.9
Oaxaca,91.5
Puebla,92.3
Querétaro,95.5
Quintana Roo,101.7
San Luis Potosí,94.7
Sinaloa,97.6
Sonora,100
Tabasco,95.5
Tamaulipas,96.9
Tlaxcala,93.8
Veracruz de Ignacio de la Llave,92.4
Yucatán,96.6
Zacatecas,95.2
