Estado,DefuncionPorHomicidio
Aguascalientes,151
Baja California,2460
Baja California Sur,85
Campeche,108
Coahuila de Zaragoza,120
Colima,910
Chiapas,932
Chihuahua,2336
Ciudad de México,978
Durango,110
Guanajuato,4035
Guerrero,1721
Hidalgo,374
Jalisco,1868
México,3297
Michoacán de Ocampo,1634
Morelos,1535
Nayarit,189
Nuevo León,1678
Oaxaca,860
Puebla,1055
Querétaro,219
Quintana Roo,664
San Luis Potosí,511
Sinaloa,1032
Sonora,1605
Tabasco,844
Tamaulipas,586
Tlaxcala,176
Veracruz de Ignacio de la Llave,843
Yucatán,65
Zacatecas,569
