Estado,IngresoTotal
Aguascalientes,269457
Baja California,303561
Baja California Sur,314184
Campeche,198708
Coahuila de Zaragoza,262956
Colima,258723
Chiapas,123252
Chihuahua,277089
Ciudad de México,332055
Durango,208767
Guanajuato,223635
Guerrero,145644
Hidalgo,178383
Jalisco,261597
México,222486
Michoacán de Ocampo,204702
Morelos,198585
Nayarit,223803
Nuevo León,351102
Oaxaca,156075
Puebla,186486
Querétaro,292845
Quintana Roo,266262
San Luis Potosí,219615
Sinaloa,248511
Sonora,284163
Tabasco,195003
Tamaulipas,231906
Tlaxcala,176502
Veracruz de Ignacio de la Llave,159090
Yucatán,239916
Zacatecas,180876
