Pais,PopulationDensity
Albania,97.8
Andorra,169.2
Armenia,99.6
Austria,106.8
Azerbaijan,116
Belarus,44.8
Belgium,379.5
Bosnia and Herzegovina,67.4
Bulgaria,58.6
Canada,3.8
Croatia,68.6
Cyprus,99.7
Czechia,133.2
Denmark,135.9
Estonia,29.4
Finland,16.4
France,123.1
Georgia,53.2
Germany,233
Greece,80.1
Hungary,103.5
Iceland,3.6
Ireland,72.7
Israel,423.2
Italy,196.2
Kazakhstan,7
Kyrgyzstan,33.5
Latvia,29.2
Liechtenstein,244.9
Lithuania,43
Luxembourg,247.5
Malta,1639.7
Montenegro,44.8
Netherlands,422.2
North Macedonia,71.4
Norway,16.7
Poland,118.3
Portugal,113.1
Republic of Moldova,77.3
Romania,80.2
San Marino,571.1
Serbia,77.3
Slovakia,111.1
Slovenia,104.1
Spain,93.8
Sweden,23.1
Switzerland,210.8
Turkiye,108.6
Ukraine,68.3
United Kingdom,275.9
United States,34.5
Uzbekistan,78
