Pais,LifeExpectancy
Aruba,76.226
Africa Eastern and Southern,64.48701955
Afghanistan,65.617
Africa Western and Central,57.98781339
Angola,64.246
Albania,78.769
Andorra,84.016
Arab World,71.8760956
United Arab Emirates,80.487
Argentina,75.806
Armenia,74.76585366
American Samoa,72.752
Antigua and Barbuda,77.483
Australia,83.2
Austria,81.29512195
Azerbaijan,74.125
Burundi,62.882
Belgium,81.74878049
Benin,60.475
Burkina Faso,60.7
Bangladesh,74.265
Bulgaria,74.16097561
Bahrain,80.992
"Bahamas, The",74.491
Bosnia and Herzegovina,76.777
Belarus,74.10336585
Belize,72.19
Bermuda,82.062
Bolivia,67.434
Brazil,74.872
Barbados,75.676
Brunei Darussalam,72.917
Bhutan,72.754
Botswana,68.749
Central African Republic,18.818
Canada,81.24536585
Central Europe and the Baltics,76.65229873
Switzerland,83.60487805
Channel Islands,81
Chile,79.176
China,78.202
Cote d'Ivoire,61.562
Cameroon,62.443
"Congo, Dem. Rep.",60.979
"Congo, Rep.",65
Colombia,76.508
Comoros,66.481
Cabo Verde,75.907
Costa Rica,79.316
Caribbean small states,72.83229211
Cuba,77.629
Curacao,76.729
Cayman Islands,79.984
Cyprus,80.434
Czechia,78.92926829
Germany,80.60804878
Djibouti,65.54
Dominica,71.081
Denmark,81.30487805
Dominican Republic,74.211
Algeria,76.129
East Asia & Pacific (excluding high income),75.93254094
Early-demographic dividend,71.43045525
East Asia & Pacific,76.67671671
Europe & Central Asia (excluding high income),74.57316842
Europe & Central Asia,77.83447872
Ecuador,76.577
"Egypt, Arab Rep.",71.01
Euro area,81.62320256
Eritrea,67.789
Spain,83.13414634
Estonia,77.84390244
Ethiopia,66.897
European Union,80.71350563
Fragile and conflict affected situations,62.70227157
Finland,81.18780488
Fiji,67.148
France,82.12926829
Faroe Islands,82.94390244
"Micronesia, Fed. Sts.",66.961
Gabon,67.713
United Kingdom,81.01121951
Georgia,74.141
Ghana,65.246
Gibraltar,83.517
Guinea,60.432
"Gambia, The",64.859
Guinea-Bissau,63.605
Equatorial Guinea,63.355
Greece,80.78780488
Grenada,75.151
Greenland,71.5404878
Guatemala,71.206
Guam,77.102
Guyana,69.888
High income,79.43097391
"Hong Kong SAR, China",83.66097561
Honduras,72.715
Heavily indebted poor countries (HIPC),63.84044586
Croatia,77.57560976
Haiti,63.948
Hungary,75.86829268
IBRD only,74.25126248
IDA & IBRD total,71.67758196
IDA total,64.88229029
IDA blend,62.12886414
Indonesia,70.925
IDA only,66.36006053
Isle of Man,80.956
India,71.698
Not classified,
Ireland,82.5097561
"Iran, Islamic Rep.",76.799
Iraq,72.037
Iceland,82.1195122
Israel,82.7
Italy,82.7
Jamaica,71.481
Jordan,77.088
Japan,83.99634146
Kazakhstan,73.503
Kenya,63.549
Kyrgyz Republic,72.04878049
Cambodia,70.528
Kiribati,66.269
St. Kitts and Nevis,70.313
"Korea, Rep.",82.6804878
Kuwait,80.58780488
Latin America & Caribbean (excluding high income),74.48972626
Lao PDR,68.715
Lebanon,78.003
Liberia,61.934
Libya,74.462
St. Lucia,72.67
Latin America & Caribbean,74.64720954
Least developed countries: UN classification,65.76318576
Low income,63.45831028
Liechtenstein,84.12195122
Sri Lanka,77.3
Lower middle income,69.30109468
Low & middle income,71.68492312
Lesotho,56.812
Late-demographic dividend,76.95432567
Lithuania,75.64390244
Luxembourg,82.94634146
Latvia,74.27804878
"Macao SAR, China",83.0804878
St. Martin (French part),80.236
Morocco,75.161
Monaco,85.746
Moldova,71.546
Madagascar,63.068
Maldives,80.76
"Middle East, North Africa, Afghanistan & Pakistan",71.69183197
Mexico,73.973
Marshall Islands,66.725
Middle income,72.51720203
North Macedonia,74.42487805
Mali,60.035
Malta,82.44878049
Myanmar,66.506
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",71.00553154
Montenegro,76.18780488
Mongolia,71.90073171
Northern Mariana Islands,78.531
Mozambique,63.011
Mauritania,68.281
Mauritius,73.51463415
Malawi,66.037
Malaysia,75.444
North America,77.83276796
Namibia,64.19
New Caledonia,77.698
Niger,60.398
Nigeria,54.079
Nicaragua,74.463
Netherlands,81.61463415
Norway,82.5097561
Nepal,70.087
Nauru,61.93
New Zealand,81.95853659
OECD members,79.52125458
Oman,77.911
Other small states,72.90492487
Pakistan,67.417
Panama,79.324
Peru,76.834
Philippines,69.472
Palau,68.922
Papua New Guinea,65.274
Poland,77.15609756
Pre-demographic dividend,61.383288
Puerto Rico (US),79.427
"Korea, Dem. People's Rep.",73.641
Portugal,81.63170732
Paraguay,72.319
West Bank and Gaza,76.662
Pacific island small states,69.1004349
Post-demographic dividend,80.19778783
French Polynesia,83.859
Qatar,81.857
Romania,75.15365854
Russian Federation,72.54560976
Rwanda,67.528
South Asia,72.01157313
Saudi Arabia,77.31
Sudan,65.695
Senegal,67.788
Singapore,82.89512195
Solomon Islands,70.409
Sierra Leone,61.275
El Salvador,71.969
San Marino,85.708
"Somalia, Fed. Rep.",53.931
Serbia,75.23658537
Sub-Saharan Africa (excluding high income),61.2833536
South Sudan,57.203
Sub-Saharan Africa,61.85717959
Small states,72.37946786
Sao Tome and Principe,69.237
Suriname,73.254
Slovak Republic,76.96585366
Slovenia,81.28292683
Sweden,83.05853659
Eswatini,63.028
Sint Maarten (Dutch part),76.18
Seychelles,73.70243902
Syrian Arab Republic,72.79
Turks and Caicos Islands,77.918
Chad,54.528
East Asia & Pacific (IDA & IBRD countries),75.96103475
Europe & Central Asia (IDA & IBRD countries),74.18836548
Togo,62.29
Thailand,75.291
Tajikistan,71.562
Turkmenistan,69.913
